Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL,
1,7,5.78,6.49,5.55,6.77,6.3,7.55,9.05,8.48,9.95,6.73,5.61,6.77,5.47,6.56,6.8,6.74,9.09,8.98,10.6,8.03,4.6,5.24,4.32,5.63,5.36,8.28,9.05,10.13,9.6,4.82,3.73,5.52,4.93,5.44,7.3,8.15,8.73,10.6,10.7,
1,7.02,6.14,5.46,4.07,7.06,6,7.47,8.23,9.17,9.78,7.06,6.12,6.33,5.87,6.52,5.46,7.49,8.18,9.36,9.72,3.6,4.16,4.54,4.47,6.74,6.41,6.89,7.35,9.09,8.58,4.23,5.26,4.3,5.17,5.68,5.75,7.45,7.49,9.34,9.4,
1,6.08,5.29,5.64,5.21,6.12,5.94,6.97,8.02,10.06,8.13,5.94,5.64,5.89,4.39,6.26,6.62,6.87,8.79,8.84,9.91,3.71,3.46,4.7,3.71,5.13,5.21,7.42,7.1,9.42,8.93,4.05,3.69,4.49,4.29,5.55,5.27,7.14,6.54,9.33,8.7,
1,6.18,5.02,5.1,4.43,5.77,5.31,6.21,8.04,7.9,8.56,6.05,4.98,5.13,4.55,5.42,5.9,6.2,8.24,8.5,9.47,3.52,3.72,4.15,3.96,4.95,5.11,6.4,6.48,9,7.85,3.68,3.95,4.26,4.58,4.9,4.99,6.49,7.64,10,8.69,
1,6.08,5.23,5.19,4.52,5.91,6.09,7.17,8.67,9.36,9.88,6.44,4.87,4.76,4.54,5.67,5.19,6.75,8.94,9.85,10.59,3.84,4.31,4.08,3.94,5.29,4.85,7.11,7.78,10.3,8.75,3.85,4.32,4.02,4.29,5.23,5,7.28,7.88,9.64,9.95,
1,6.83,6.15,5.9,4.6,7.37,6.13,6.91,8.22,9.46,10.07,6.92,5.7,5.01,4.79,6.79,6.16,7.91,8.74,9.21,10.34,4.3,4.3,5.1,4.41,6.23,5.01,8.07,7.94,10.99,8.83,4.13,4.27,5.39,4.78,6.03,5.39,7.54,7.81,11,9.27,
1,7.69,5.74,5.45,5.76,7.22,6.19,7.58,8.46,9.62,10,7.42,5.5,5.45,5.17,6.99,6.92,7.57,9.31,11,9.62,4.74,5.14,5.92,4.82,7.27,5.32,9.32,6.85,10.75,8.87,4.2,5.39,5.7,5.68,6.27,6.61,7.51,7.65,11.14,9.63,
1,6.53,5.21,5.75,4.81,6.89,6.56,7.89,7.31,8.98,8.61,6.5,5.41,5.86,5.27,6.67,6.24,7.66,8.86,8.35,8.8,3.74,3.78,4.32,4.84,6.12,5.43,8,7.4,9.51,8.72,3.76,3.79,4.71,4.37,6.31,5.19,8.05,6.66,9.84,8.69,
1,5.63,4.28,5.24,4.81,6,5.98,7.12,8.21,9.59,9.15,5.77,4.46,4.48,4.28,5.89,5.8,7.3,8.61,8.79,9.36,3.25,3.24,3.65,3.67,4.97,5.4,7.34,7.14,9.97,8.33,3,3.88,3.91,3.59,5.66,5.23,7.42,7.16,9.35,8.57,
1,6.73,5.39,5.62,5.16,6.69,6.19,7.54,8.12,9.58,10.02,6.74,5.82,5.61,5.08,6.36,5.77,7.3,8.78,9.64,9.83,3.81,4.81,4.24,4.87,5.36,5.01,7.34,6.98,9.57,9.12,3.88,3.81,3.59,4.24,5.23,5.53,7.16,7.72,8.57,8.83,
1,6.47,5.38,5.77,5.16,6.84,6.98,7.91,7.7,10.18,8.51,6.66,5.2,6.01,5.34,6.79,6.49,7.85,8.21,8.53,8.65,3.89,3.6,4.34,4.16,4.92,5.43,7.8,6.27,9.61,8.43,4.04,3.82,4.17,3.72,5.16,4.99,8.41,6.62,9.71,8.89,
1,6.99,5.43,5.47,4.94,6.74,5.59,7.31,8.7,9.46,9.85,6.8,5.35,5.42,5.01,6.82,6.06,7.44,8.97,9.04,9.31,4.43,3.65,5.08,4.05,6.1,5.65,8.5,6.75,10.75,9.35,4.09,3.9,4.86,3.97,5.72,5.42,8.71,7.08,11.21,9.2,
1,5.86,4.86,4.56,4.46,6.4,6.36,6.49,7.36,9.85,9.79,5.56,4.28,4.9,4.46,6.19,6.29,6.39,7.66,9.21,9.96,3.92,3.92,4.17,4.36,5.26,6.1,7.84,7.18,10.28,10.33,4.58,3.9,4.16,4.6,5.04,5.99,8.14,7.17,11.19,9.9,
