Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL
1,6.23,4.91,5.29,4.38,6.48,5.55,7.05,8.44,10.2,9.03,6.49,4.87,5.39,4.64,6.83,5.7,7.08,8.18,9.48,9.61,4.19,4.52,4.39,5.04,5.78,5.74,7.98,7.02,9.68,9.13,4.34,4.61,4.54,4.83,5.51,5.19,8.01,6.9,10.2,9.08
1,7.14,5.76,5.99,4.72,6.64,6.12,7.49,8.96,10.1,9.86,6.42,5.49,6.04,4.89,6.09,5.97,7.7,8.87,9.02,10.1,4.2,4.34,4.47,4.37,6.82,5.54,7.39,6.89,8.82,9.45,4.6,4.37,4.86,4.81,5.85,5.25,7.57,7.36,10.2,9.26
1,6.45,4.88,4.36,4.21,6.51,6.99,6.48,8.31,9.8,9.51,6.34,4.62,4.66,4.83,6.33,6.06,6.18,8.12,8.4,9.47,3.53,3.37,3.97,3.81,5.66,5.25,7.34,7,9.79,9.64,3.61,3.38,4.45,3.47,5.04,5.12,7.28,6.94,10.5,9.21
1,7.24,5.12,6.38,4.32,7.43,6.18,7.42,8.76,8.66,10.2,7.13,5.13,6.39,4.41,6.88,6.21,8.43,9.47,9.94,11.2,3.68,3.68,3.76,4.11,5.51,5.1,6.91,6.84,9.37,8.61,3.22,3.79,4.15,4.56,5.6,5.64,6.56,7.55,9.98,9.37
1,6.18,4.79,4.89,5.07,6.25,5.82,6.71,8.77,8.98,9.95,6.29,4.94,4.95,4.85,6.27,5.87,6.94,9.14,8.64,10.27,3.68,3.88,4.76,3.91,5.65,5.15,6.86,7.29,9.58,8.83,4.43,3.58,4.52,4.04,5.12,5.17,7.07,7.36,10,9.03
1,6.38,5.48,5.16,5.12,6.02,5.51,6.72,8.2,8.72,9.02,6.26,5.44,5.09,5.2,6,5.9,6.84,8.72,8.27,10.39,3.65,3.75,4.42,4.26,5.45,5.32,7.93,7.57,9.48,9.2,3.85,3.96,4.59,4.44,5.4,5.42,8.08,7.39,10.01,9.01
1,6.46,5,5.08,4.39,5.95,5.09,6.76,7.6,8.52,9.06,6.41,4.92,5.17,4.68,6.26,5.41,6.89,7.88,7.67,8.94,3.75,3.71,4.26,3.98,5.19,4.58,7.53,7.02,9.51,8.1,3.89,3.66,4.37,4.03,5.23,4.52,7.5,6.78,9.07,8.18
1,5.72,4.57,5.22,4.34,6.18,6.05,7.12,8.76,9.24,9.3,5.79,4.57,4.84,4.54,5.84,5.91,7.2,8.73,9.64,9.75,3.21,3.27,3.91,3.82,5.06,5.05,7.35,6.49,9.83,8.15,3.19,3.41,3.88,3.72,5.64,5.04,7.5,6.33,9.64,8.14
1,7,4.78,5.25,4.72,6.24,5.57,7.18,7.6,9.13,8.89,6.64,5.05,5.35,4.71,6.23,5.47,7.41,8.21,8.78,9.42,4.02,3.94,4.32,3.73,5.42,4.96,7.76,7.05,9.43,8.81,4.27,3.42,4.3,3.95,5.72,4.85,7.57,7.11,9.26,8.6
1,6.35,5.96,4.85,4.73,5.87,5.82,6.85,8.78,8.41,9.4,6.12,5.87,5.05,4.54,6.08,6.01,6.65,8.58,8.35,9.02,3.57,3.2,3.95,3.62,5.56,4.37,6.81,7.62,8.7,8.28,3.15,3.21,4.33,3.52,4.97,4.33,7.55,6.75,10.08,8.51
1,6.89,4.88,5.66,4.79,6.53,6.22,6.84,8.52,9.4,9.32,6.79,5.09,5.84,4.84,6.56,5.74,7.2,8.57,9.2,9.52,4.46,3.65,4.83,3.92,5.6,4.61,8.23,6.94,10.09,8.72,4.16,3.63,5.17,4.05,5.28,5.37,7.63,6.54,9.55,8.81
1,6.32,5.06,4.93,4.92,6.38,6.01,7.12,8.63,8.73,9.4,6.6,5.29,5.64,5.46,6.78,6.2,7.82,8.46,8.92,9.55,4.03,3.62,4.28,4.45,5.56,5.95,7.28,6.73,9.75,8.77,4.05,3.62,4.24,3.35,5.02,4.62,7.8,6.46,9.16,8.82
1,6.51,5.96,5.06,4.78,6.75,6.34,6.59,9.3,9.67,9.31,6.4,5.4,5.43,4.93,6.56,6.03,6.45,8.89,9.08,9.21,4.62,4.05,4.88,4.18,5.36,5.22,7.59,6.66,9.82,8.63,3.98,4.46,4.44,4.5,5.57,4.92,7.36,6.95,9.38,8.81
1,6.32,5.13,5.11,4.89,6.48,6.11,7.2,8.13,8.93,8.74,6.88,5.06,5.72,4.95,6.55,6.02,7.27,8.19,8.9,9.17,3.91,3.86,4.47,3.89,5.3,5.21,7.28,7.74,9.31,9.01,3.88,3.82,3.89,4.1,5.81,5.28,7.25,7.66,9.14,8.78
1,6.48,4.92,5.22,4.61,6.83,5.92,7.13,8.54,9.13,9.73,6.56,5.38,5.24,5.08,7.1,6.29,7.21,8.71,9.16,10.2,3.92,4.29,4.63,4.4,5.51,5.03,7.38,7.45,10.4,9.26,3.88,4.08,4.89,4,5.47,4.65,7.68,6.98,10.3,8.96
1,6.2,5.59,5.2,4.82,5.98,5.17,6.9,8.16,9.37,8.79,6.54,5.32,5.48,4.51,5.59,5.23,7.31,8.5,8.54,9.26,4.46,4.17,4.9,4.46,5.2,4.94,7.66,7.1,10.2,8.57,3.95,4.13,5.08,4.46,5.32,5.12,7.85,7.51,10.4,8.86
1,7.12,4.94,5.81,5.03,6.01,5.93,8.01,8.99,9.11,9.68,7,5.42,5.95,5.34,5.9,5.39,8.12,9.25,9.14,9.6,4.28,4.03,5.46,4.34,5.69,5.07,8.81,7.93,10.86,9.5,4.29,4.23,4.67,4.62,5.09,5.46,9.14,7.89,10.38,9.99
1,6.05,5.04,5.09,4.23,6.58,5.6,6.83,7.08,8.02,8.69,6.15,4.9,5.06,5.17,6.42,5.9,7.13,7.92,8.16,9.19,3.95,3.61,4.4,4.41,5.37,5.57,7.27,6.38,9.27,8.75,3.56,3.64,4.31,3.64,5.73,5.24,6.95,6.67,9.84,8.76
1,6.81,5.62,5.47,6.2,5.78,5.85,8.1,8.85,9.58,9.77,6.82,5.94,5.92,5.35,5.87,5.87,8.23,9.02,9.04,10,4.41,4.31,4.97,4.32,5.23,4.96,8.83,7.51,10.1,9.4,3.81,4.04,4.45,4.51,4.99,5.6,9.27,7.88,10.5,9.84
1,6.25,5.34,4.78,4.64,6.19,6.36,7.94,8.48,9.97,9.75,6.21,4.8,4.89,4.53,6.01,6.41,7.84,7.84,9.09,8.94,3.87,3.62,4.49,4.01,5.06,5.25,7.39,7.13,9.78,8.66,3.67,3.76,4.53,4.33,5.18,4.56,7.83,6.92,8.05,8.98
1,6.76,4.86,5.4,4.59,6.45,4.99,7.13,8.33,8.52,9.77,6.38,4.61,5.55,4.82,6.78,5.39,7.31,8.35,8.29,9.57,3.51,3.17,4.27,3.33,5.7,4.42,7.76,6.61,9.76,9.12,3.91,3.51,4.49,3.37,5.67,5.21,7.51,7.36,9.54,9.51
1,5.61,4.58,5.1,4.77,6.32,5.91,6.81,8.66,9.26,9.96,5.34,4.38,5.45,4.6,6.23,5.85,6.81,8.68,9.09,9.53,4.01,3.99,4.55,4.44,5.47,5.33,7.62,7.62,9.94,9.61,3.99,4.45,4.93,4.57,4.83,5.71,7.56,7.78,9.67,9.66
1,5.84,6.62,5.29,6.89,5.79,7.39,6.51,9.06,9.06,9.43,6.37,7.2,5.2,6.91,6.64,6.98,6.55,9.8,8.01,9.93,3.74,4.09,4.51,4.58,6.03,6.03,7.47,7.51,10.8,8.93,3.85,4.2,4.56,4.73,5.59,5.19,8.18,7.89,10.5,9.58
1,6.4,4.99,5.26,4.15,6.47,5.44,6.98,7.65,8.39,9.31,6.55,4.5,4.99,4.02,6.13,5.42,7.05,7.75,8.26,9.38,4.29,3.44,4.66,4.04,5.22,4.5,7.23,6.39,9.98,8.04,4.27,3.93,4.9,3.65,5.11,4.95,7.08,6.56,10.2,8.8
1,6.61,5.45,5.43,4.35,6.51,6.05,7.35,8.72,9.29,9.36,7.04,5.22,5.13,4.44,6.58,6.01,7.48,8.41,8.77,9.32,4.18,4.38,4.83,4.11,6.17,5.4,8.83,7.96,11.42,9.08,4.17,4.28,4.95,4.33,6.29,5.22,8.13,7.94,10.92,9.05
1,7.12,4.54,5.46,4.23,6.94,5.51,7.48,8.58,10.5,10.3,6.64,4.68,5.48,5.05,6.19,6.42,6.52,8.82,8.71,9.59,4.17,4.35,4.79,4.64,5.46,4.76,7.18,8.06,10.1,9.15,4.52,4.4,4.51,4.25,6.63,5.9,7.36,8.44,10.4,9.43
1,7.04,5.15,5.5,4.58,5.72,5.71,7.09,8.1,9.93,9.77,6.82,4.49,5.35,4.57,5.92,5.53,7.19,8.75,8.54,10.1,4.1,3.63,4.72,4.52,5.41,5.49,7.79,8.68,9.84,9.29,4.03,3.32,4.82,3.61,5.6,5.68,7.98,7.78,10.2,9.22
1,5.37,4.59,4.67,4.61,6.45,6.01,6.87,8.41,9.06,9.99,5.34,5.08,4.73,4.63,5.88,6.28,6.83,8.11,8.59,9.82,3.99,4.25,4.11,4.36,5.8,5.47,7.23,7.06,10.3,9.35,3.78,4.24,4.53,4.16,5.71,5.79,7.16,7.39,9.19,9.26
1,7.05,5.71,5.21,4.98,7.41,6.87,8.03,9.34,9.75,10.55,6.35,5.72,5.62,5.08,7.58,7.03,7.62,9.65,9.48,10.71,3.92,3.88,4.74,4.61,6.43,5.83,8.29,8.25,10.32,9.42,4.07,4.39,4.94,5.28,5.6,5.83,8.03,8.47,9.79,9.8
1,6.12,6.14,4.94,4.86,6.34,5.92,6.78,8.05,9.39,9.67,6.09,5.99,4.94,5.95,6.09,5.85,6.6,8.33,9.35,10.1,4.52,4.07,4.36,4.69,5.94,5.79,8.67,7.56,10,10.4,3.93,4.21,4.85,4.44,5.94,5.75,8.83,7.6,10.5,9.46
1,6.08,5.34,4.96,5.18,6.61,5.89,7.4,8.66,9.83,9.63,6.46,5.17,5.08,4.98,6.49,5.98,6.73,8.87,8.48,9.62,3.76,3.96,4.33,4.24,5.4,5.04,7.62,7.54,10.1,9.09,3.77,3.84,4.41,4.17,5.6,5.62,7.57,8,10.4,9.7
1,6.64,5.55,5.18,5.16,6.68,6.35,7.05,9.05,10.1,10.25,6.81,5.83,4.84,4.73,7,6.77,7.21,9.87,9.49,10.21,4.36,3.99,5.17,4.02,5.96,5.8,8.39,6.98,11,9.26,4.49,3.63,5.61,4.22,5.88,4.61,8.21,7.36,10.8,9.15
0,6.46,4.97,4.73,3.45,5.84,5.81,7.08,8.12,9.17,9.81,6.72,4.68,5.19,4.51,5.75,5.31,7.24,8.14,8.91,9.37,4.13,3.88,4.13,4.21,5.09,5.69,8.31,7.11,10,8.73,4.33,3.92,4.72,4.25,5.89,5.67,8.18,6.87,10.3,9.23
0,6.21,4.72,4.85,4.42,6.61,5.73,6.59,8.09,9.39,8.73,6.32,4.95,4.85,4.62,6.31,5.51,6.41,8.04,8.69,9.19,3.69,3.24,4.19,3.79,5.72,5.19,8.41,6.56,9.74,8.45,3.56,3.34,4.22,3.91,5.51,5.12,8.24,6.65,9.67,8.36
0,6.69,4.55,5.07,4.42,5.73,5.24,6.19,7.61,8.27,8.74,6.42,4.71,5.19,4.11,5.59,4.67,5.93,7.85,7.79,9.83,3.88,4.7,5.16,4.19,6.41,5.56,7.44,7.14,9.65,8.93,4.21,3.98,4.51,4.35,6.09,5.6,7.86,7.08,9.95,8.96
0,5.59,4.58,5.58,4.69,6.91,5.62,6.38,8.29,8.89,9.29,5.45,4.51,4.52,3.92,6.79,6.6,6.49,8.19,9.04,9.31,3.43,3.79,4.31,3.84,5.39,5.03,6.58,6.96,9.72,8.45,3.46,4.37,4.51,4.41,5.36,5.35,5.95,7.28,9.44,8.58
0,6.07,5.51,5.32,5.41,6.61,6.49,6.98,7.99,8.57,10.19,5.99,5.62,6.29,4.76,6.53,5.89,6.89,8.41,8.38,9.82,3.88,3.78,4.91,4.64,5.79,5.43,7.41,6.93,9.47,8.75,4.08,3.91,4.88,4.29,5.39,5.38,7.78,6.94,9.28,9.09
0,6.97,5.29,5.49,5.41,6.83,6.27,6.89,9.08,11.11,10.59,6.85,5.06,5.69,4.96,6.94,6.37,7.16,9.19,9.75,10.23,3.98,3.91,4.29,4.51,5.16,5.55,7.73,7.73,10.24,9.62,4.06,3.96,3.96,4.66,5.18,5.79,7.76,7.67,10.49,9.69
0,9.38,10.3,7.07,8.41,6.78,6.19,5.92,4.85,6.44,6.29,6.32,5.83,5.66,5,7.13,6.49,7.22,9.47,10.1,9.65,4.43,3.94,4.82,3.73,5.88,5.19,7.37,7.22,10.1,9.27,3.95,4.42,4.96,3.96,5.84,5.41,7.22,6.52,10,9.07
0,6.26,5,5.38,4.57,6.27,5.96,7.61,7.95,9.14,9.57,6.17,5.06,5.21,4.78,6.75,4.98,7.31,7.74,8.75,9.24,4.02,4.23,4.65,4.15,5.54,5.79,7.47,7.14,10.36,8.87,4.41,4.38,4.76,4.89,5.99,6.12,7.06,7.11,9.47,9.23
