Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL
0,6,5.32,4.52,5.26,6.17,6.45,6.35,9.04,9.24,9.47,6.29,5.79,5.85,4.93,7.37,5.61,7.01,8.66,9.92,9.31,4,4.11,4.76,4.98,5.27,5.74,7.62,7.68,9.78,9.27,3.65,4.65,4.47,4.85,5.81,5.13,7.94,7.33,9.81,9.11
0,5.74,5.11,4.87,4.88,6.09,6.01,6.76,7.65,8,9.85,6.16,5.27,5.12,5.02,6.34,6.29,6.81,8.02,7.93,9.45,4.46,4.95,5.96,4.69,6.03,6.07,8.02,8.14,10.17,9.98,4.23,4.79,4.93,4.87,5.61,5.88,8.24,8.07,10.16,9.92
0,6.34,5.12,5.18,4.16,6.56,5.71,7.28,8.1,8.36,8.79,6.29,4.89,4.94,4.48,6.66,5.89,6.66,8.42,8.27,8.74,3.71,3.71,4.83,4.57,5.83,6.09,7.86,7.88,9.63,8.73,3.74,3.79,4.43,4.44,5.86,5.63,7.78,7.81,8.89,8.71
0,6.12,4.71,4.85,4.28,6.16,6.15,6.78,8.53,9.68,9.95,6.21,4.95,4.93,4.79,5.33,5.84,6.84,8.72,9.57,10.12,4.04,3.97,4.43,4.91,5.38,5.51,7.51,7.39,9.84,8.78,3.93,4.11,4.51,4.56,5.36,5.87,7.08,8.25,9.96,9.57
0,6.05,5,5.15,4.47,6.17,5.51,7.03,8.14,9.42,9.82,5.93,5.01,5.67,4.46,6.32,5.55,7.09,7.81,9.02,9.53,3.91,3.71,4.69,3.89,5.75,6.56,7.68,7.95,10.16,8.86,4.11,4.78,4.31,5.07,5.68,6.34,7.55,7.52,10.63,9.51
0,6.25,4.7,5.56,4.64,5.66,5.06,7.71,8.08,10.43,9.08,6.61,4.87,5.37,4.47,5.88,5.36,7.05,8.4,8.41,8.85,3.77,3.69,4.73,4.24,5.61,4.76,7.31,7.03,10.02,9.2,3.23,4.01,3.91,4.35,5.45,4.86,7.22,6.92,8.88,8.32
0,6.63,5.77,5.65,5.02,6.23,6.39,7.09,8.01,9.37,9.99,6.56,5.73,5.95,5.66,6.28,5.86,7,8.62,9.06,9.83,3.21,3.47,3.98,3.8,5.05,5.17,6.97,6.69,9.33,8.33,3.19,3.72,3.7,4.15,5.09,5.29,6.74,7.07,9.34,8.4
0,5.98,5.12,5.14,4.82,6.51,5.79,6.55,7.87,8.62,9.29,5.81,4.93,5.23,4.39,6.2,5.67,6.43,8.74,8.18,9.31,4.17,4.18,4.1,4.63,5.25,5.85,7.82,7.04,10.64,9.27,3.87,4.03,4.39,4.59,5.49,5.9,8.4,7.52,10.37,9.69
0,6.92,5.81,5.31,4.94,6.3,6.06,6.58,8.33,8.72,9.02,6.85,5.5,5.73,4.31,6.87,5.96,6.73,7.93,8.69,9.41,3.95,3.52,4.28,4.38,5.16,5.31,7.66,6.99,9.96,9.22,4.16,3.99,4.24,4.31,5.34,5.56,7.61,7.41,10.61,9.43
0,5.96,5.07,5.34,4.79,6.08,6.04,6.88,8.35,8.08,9.36,6.18,4.95,5.77,4.61,6.26,6.67,7.15,8.73,8.11,9.93,4.17,3.83,4.42,3.87,5.62,4.81,6.67,6.48,10.09,8.18,4.26,3.47,4.64,4.12,5.46,5.31,6.94,6.58,9.58,8.62
0,6.43,5.24,5.36,4.47,6.1,6.04,7.58,8.06,8.86,9.46,6.15,4.92,5.16,5.52,6.33,6.06,7.15,7.49,8.36,9.13,4.16,4.42,5.33,4.62,5.7,5.36,7.91,6.78,9.93,8.52,3.86,4.44,5,4.68,5.63,5.78,7.88,7.35,9.97,8.64
0,6.59,5.84,5.3,6.27,6.39,6.89,6.82,8.24,8.59,8.73,6.1,6.39,5.63,5.41,6.25,6.03,6.72,8.36,8.28,9.12,3.75,3.75,4.14,4.28,5.08,4.87,7.05,7.36,9.41,8.41,3.32,3.72,4.31,4.31,5.32,5.75,7.52,7.04,8.75,8.63
0,6.53,5.46,5.02,4.88,5.68,5.94,7.04,8.95,8.96,10.3,6.24,5.47,4.93,5.05,5.93,5.52,6.75,8.71,9.31,9.93,6.64,3.86,4.32,4.25,4.93,4.77,7.57,7.18,9.76,8.23,3.65,3.82,4.66,4.74,5.23,5.63,7.65,7.25,9.62,8.77
0,6.42,5.46,5.09,5.47,5.89,6.63,7.66,8.83,9.42,9.35,5.87,4.72,5.02,4.11,5.41,4.99,8.11,7.41,9.82,9.43,3.82,3.73,4.25,3.96,5.22,5.15,7.75,6.12,9.77,8.36,4.02,3.77,5.32,4.06,5.08,4.95,7.31,6.78,10.1,9.03
0,6.45,4.92,5.42,5.04,6.61,6.35,7.19,8.53,8.72,9.57,5.91,4.94,5.41,4.57,6.13,5.84,6.95,8.16,9.12,10,3.54,3.49,3.75,4.47,5.26,5.98,6.79,6.82,9.56,8.65,3.48,3.55,3.76,4.02,5.32,5.47,7.05,6.81,9.26,8.79
0,6.1,4.55,5.03,4.5,6.43,5.62,6.48,8.49,8.57,9.46,6.38,4.79,5.07,4.67,6.09,5.25,6.2,7.72,8.56,9.48,3.82,3.85,4.38,4.06,5.57,5.13,7.22,7.14,8.68,8.39,3.69,3.77,4.23,4.09,5.58,5.33,7.46,8.06,8.87,9.11
0,5.72,5.32,4.86,4.72,6.42,6.05,7.01,7.97,10.91,9.78,5.91,4.77,4.86,4.54,5.75,5.61,6.53,7.77,9.08,9.45,3.71,4.34,4.51,4.81,5.62,5.43,7.23,7.42,9.42,8.73,3.76,4.46,4.52,4.77,5.97,5.81,7.33,7.21,9.75,8.68
0,6.59,5.76,5.14,5.05,6.58,6.51,6.97,9.25,9.26,10.12,6.49,5.71,5.45,5.45,6.47,6.28,6.95,9.31,8.21,10.1,3.61,4.41,4.29,4.66,4.94,5.35,7.01,7.01,9.4,8.93,3.72,4.19,4.27,4.53,5.25,5.54,7.07,7.07,9.41,9.13
